SampleID,Tissues,Description,EXTEND Scores
GTEX-132AR-1726-SM-5EGHQ,Adrenal_GD,Adrenal_GD,0.415978602
GTEX-12ZZZ-0926-SM-5N9EQ,Adrenal_GD,Adrenal_GD,0.416010459
GTEX-1AX8Z-2426-SM-72D7D,Adrenal_GD,Adrenal_GD,0.420031223
GTEX-VUSG-1526-SM-4KKZH,Adrenal_GD,Adrenal_GD,0.421601527
GTEX-ZDTT-0126-SM-4WKHA,Adrenal_GD,Adrenal_GD,0.423792608
GTEX-Y5LM-0126-SM-4VBRL,Adrenal_GD,Adrenal_GD,0.426187172
GTEX-12WSD-2126-SM-5LZWK,Adrenal_GD,Adrenal_GD,0.426320106
GTEX-14PN3-1426-SM-686Z8,Adrenal_GD,Adrenal_GD,0.427537272
GTEX-11DXX-0126-SM-5EGH7,Adrenal_GD,Adrenal_GD,0.428818149
GTEX-11I78-1826-SM-5A5M4,Adrenal_GD,Adrenal_GD,0.430486918
GTEX-PLZ6-0226-SM-3P61I,Adrenal_GD,Adrenal_GD,0.431787325
GTEX-14753-1726-SM-5NQ9X,Adrenal_GD,Adrenal_GD,0.432369847
GTEX-1A3MV-0226-SM-731FS,Adrenal_GD,Adrenal_GD,0.433408083
GTEX-ZP4G-0126-SM-4YCE3,Adrenal_GD,Adrenal_GD,0.434242796
GTEX-PLZ5-0326-SM-3P614,Adrenal_GD,Adrenal_GD,0.437145754
GTEX-11GSP-0326-SM-5A5KW,Adrenal_GD,Adrenal_GD,0.43883353
