SampleID,Tissues,Description,EXTEND Scores
GTEX-12WSN-0926-SM-5GCN1,Adrenal_GD,Adrenal_GD,0.306255699
GTEX-12WSL-0326-SM-5CVMK,Adrenal_GD,Adrenal_GD,0.307041989
GTEX-14BMU-0126-SM-5S2Q9,Adrenal_GD,Adrenal_GD,0.310180343
GTEX-ZTSS-0326-SM-5987M,Adrenal_GD,Adrenal_GD,0.316289542
GTEX-13PVR-0226-SM-5RQJI,Adrenal_GD,Adrenal_GD,0.328432768
GTEX-132QS-0126-SM-5IFH9,Adrenal_GD,Adrenal_GD,0.364785815
GTEX-17KNJ-0326-SM-7KFS5,Adrenal_GD,Adrenal_GD,0.373334829
GTEX-13O3O-1626-SM-5KM1O,Adrenal_GD,Adrenal_GD,0.382920369
GTEX-13OW6-1726-SM-5IJGI,Adrenal_GD,Adrenal_GD,0.391710843
GTEX-11DXZ-0226-SM-5EGGZ,Adrenal_GD,Adrenal_GD,0.391714438
GTEX-R55C-0226-SM-48FEO,Adrenal_GD,Adrenal_GD,0.392846159
GTEX-Y3IK-0226-SM-51MRJ,Adrenal_GD,Adrenal_GD,0.403126993
GTEX-Y5V6-1926-SM-5IFIL,Adrenal_GD,Adrenal_GD,0.40353634
GTEX-1B8L1-1326-SM-7MKG6,Adrenal_GD,Adrenal_GD,0.404204229
GTEX-T6MO-0126-SM-4DM6X,Adrenal_GD,Adrenal_GD,0.410476167
GTEX-18A7A-1826-SM-7KFTU,Adrenal_GD,Adrenal_GD,0.411325048
