gene,type
STAMBPL1,downregulated
FABP5,downregulated
ZBED2,downregulated
ASF1B,downregulated
MILR1,downregulated
PAG1,downregulated
NMU,downregulated
ARHGAP25,downregulated
FGFBP1,downregulated
SCD,downregulated
RGCC,upregulated
LZTS3,upregulated
KLHDC8B,upregulated
HDAC5,upregulated
RORC,upregulated
C1R,upregulated
FBXO32,upregulated
GAB2,upregulated
KDR,upregulated
CRLF1,upregulated
