gene
Rpl8
Ptgs2
Slc7a11
Ireb2
Chac1
Gpx4
Slc40a1
Akr1c21
Cs
Trf
Akr1c21
Emc2
Tfrc
Akr1c18
Acsf2
Fth1
Nox1
Rb1
Cybb
Hspb1
Nox3
Nfe2l2
Hsf1
Nox4
Duox1
Gclc
Duox2
G6pdx
Pgd
Sqstm1
Vdac2
Nqo1
Pik3ca
Hmox1
Flt3
Scp2
Trp53
Slc3a2
Acsl4
Lpcat3
Nras
Kras
Hras
Cisd1
Tfr2
Slc38a1
Fancd2
Slc1a5
Gls2
Got1
Ftmt
Hspa5
Atf4
Alox5
Keap1
Atg5
Atg7
Ncoa4
Hells
Scd1
Fads2
Alox12
Src
Alox12b
Stat3
Alox15
Alox8
Pml
Aloxe3
Mtor
Phkg2
Nfs1
Trp63
Aco1
Cdkn1a
Ulk1
Atg3
Atg4d
Enpp2
Becn1
Fh1
Map1lc3a
Cisd2
Gabarapl2
Gabarapl1
Atg16l1
Wipi1
Wipi2
Cbs
Snx4
Atg13
Ulk2
Iscu
Acsl3
Sat1
Cd44
Prdx6
Egfr
Sesn2
Mapk3
Nf2
Mapk1
Bid
Hif1a
Jun
Zeb1
Car9
Dpp4
Tmbim4
Plin2
Cdkn2a
Pebp1
Socs1
Aifm2
Cdo1
Myb
Lamp2
Zfp36
Mapk8
Mapk9
Prom2
Chmp5
Chmp6
Mapk14
Cav1
Gch1
Prkaa2
Sirt3
Prkaa1
Elavl1
Pir
Bap1
Ftl1
Gm20746
Abcc1
Gpr81
Slc16a1
Rrm2
Acvr1b
Tgfbr1
Nr4a1
Epas1
Rptor
Hilpda
Srebf1
Srebf2
Fzd7
Ifng
P4hb
Ano6
Nt5dc2
Lpin1
Bcat2
Tnfaip3
Pla2g6
Tlr4
Park7
Atf3
Fxn
Atm
Suv39h1
Atf2
Egln2
Miox
Mtdh
Idh1
Acot3
Sirt1
Aldh3a2
Fbxw7
Stk11
Panx1
Fndc5
Dnajb6
Bach1
Cdh1
Lonp1
Cd82
Nedd4l
Il1b
Ctsb
Por
Cyb5r1
Brd2
Elovl5
Brd3
Fads1
Brdt
Pten
Nr1d1
Decr1
Nr1d2
Tbk1
Il6
Usp7
Glrx5
Ncoa3
Nr5a2
Aqp3
Panx2
Aqp5
Aqp8
Tfap2a
Cp
Arf6
Gdf15
Pex10
Abhd12
Ppp1r13l
Agpat3
Tfam
Pex12
Kdm3b
Chp1
Rnf113a2
Brpf1
Ahcy
Osbpl9
Ints2
Mmd
Cyp4f15
Idh2
Mllt1
Ppara
Ttpa
Nos2
Gria3
Siah2
Rela
Lig3
Vdr
Aebp2
Agps
Cdca3
Pex2
Prdx1
Ar
Pex6
Timm9
Dcaf7
Far1
Phf21a
Smad7
Lyrm1
Mtf1
Amn
Copz1
Pex3
Nupr1
Mtch1
Usp35
Acadsb
Slc39a14
Map3k11
Gsk3b
Parp1
Parp2
Brd7
Parp3
Parp4
Slc25a28
Parp6
Parp8
Mfn2
Parp9
Parp10
Slc11a2
Parp11
Parp12
Parp14
Tsc1
Parp16
Tgfb1
Pdss2
Snca
Txn1
Senp1
Fgf21
Hddc3
Creb1
Creb3
Mdm2
Creb5
Mdm4
Dld
Bex2
Wwtr1
Asah2
Prkca
Lgmn
Fabp4
Akt1s1
Mlst8
Smpd1
Mycn
Tyro3
Sirt6
Ifna11
Ifna2
Ifna1
Ifna9
Ifna6
Ifnab
Ifna5
Gm12597
Ifna14
Ifna12
Ifna7
Ifna13
Gm13280
Kif20a
Ech1
Etv4
Vcp
Smg9
Rbms1
Pparg
Kdm4a
Mgst1
Mpc1
Snx5
Chmp1a
Paqr3
Camkk2
Micu1
Sox2
Srsf9
Tor2a
Prok2
Sirt2
Mef2c
Ezh2
Adamts13
Cdc25a
Map3k14
Ppard
Eno3
Lcn2
Qsox1
Mib2
Klf2
Foxo4
Ythdc2
Ddr2
Slc39a7
Trim46
Acsl1
Kdm5a
Trim21
Dpep1
Cygb
Ido1
Gstz1
Gja1
Pgrmc1
Cirbp
Usp11
Yap1
Trim26
Ndrg1
Piezo1
Lifr
Ptpn6
Egr1
Adam23
Cpeb1
Cox4i2
Timp1
Kdm6b
Mettl14
Mib1
Kdm5c
Ccdc6
Cfl1
Kmt2d
Trib2
Dhodh
Pdk4
Adipoq
Ptpn18
Abcc5
Cisd3
Gm20267
Ms4a15
Furin
Galnt14
Klhdc3
Mapkap1
Prr5
Rictor
Gstm2
Tert
Rarres2
