SampleID,Cancer,Sample Code,Sample Type,EXTEND Scores
TCGA.PK.A5HB.01A.11R.A29S.07,ACC,01,tumor,0.381350258
TCGA.BL.A13J.11A.13R.A10U.07,BLCA,11,normal,0.19353192
TCGA.BT.A20N.11A.11R.A14Y.07,BLCA,11,normal,0.20862527
TCGA.BT.A20Q.11A.11R.A14Y.07,BLCA,11,normal,0.214587373
TCGA.BT.A20R.11A.11R.A16R.07,BLCA,11,normal,0.179508692
TCGA.BT.A20U.11A.11R.A14Y.07,BLCA,11,normal,0.44299305
TCGA.BT.A20W.11A.11R.A14Y.07,BLCA,11,normal,0.31195891
TCGA.BT.A2LA.11A.11R.A18C.07,BLCA,11,normal,0.322747216
TCGA.BT.A2LB.11A.11R.A18C.07,BLCA,11,normal,0.323970746
TCGA.CU.A0YN.11A.11R.A10U.07,BLCA,11,normal,0.444395523
TCGA.CU.A0YR.11A.13R.A10U.07,BLCA,11,normal,0.281327519
TCGA.GC.A3BM.11A.11R.A22U.07,BLCA,11,normal,0.312145981
TCGA.GC.A3WC.11A.11R.A22U.07,BLCA,11,normal,0.291705212
TCGA.GC.A6I3.11A.11R.A31N.07,BLCA,11,normal,0.471120959
TCGA.GD.A2C5.11A.11R.A180.07,BLCA,11,normal,0.295066024
TCGA.GD.A3OP.11A.11R.A220.07,BLCA,11,normal,0.22956877
TCGA.GD.A3OQ.11A.21R.A220.07,BLCA,11,normal,0.207176765
TCGA.K4.A3WV.11A.21R.A22U.07,BLCA,11,normal,0.234103816
TCGA.K4.A54R.11A.11R.A26T.07,BLCA,11,normal,0.144867621
TCGA.K4.A5RI.11A.11R.A28M.07,BLCA,11,normal,0.29913754
TCGA.2F.A9KO.01A.11R.A38B.07,BLCA,01,tumor,0.543618885
TCGA.2F.A9KP.01A.11R.A38B.07,BLCA,01,tumor,0.637425156
TCGA.2F.A9KQ.01A.11R.A38B.07,BLCA,01,tumor,0.515426377
TCGA.2F.A9KR.01A.11R.A38B.07,BLCA,01,tumor,0.424029426
TCGA.2F.A9KT.01A.11R.A38B.07,BLCA,01,tumor,0.60110365
TCGA.2F.A9KW.01A.11R.A38B.07,BLCA,01,tumor,0.739244039
TCGA.4Z.AA7M.01A.11R.A39I.07,BLCA,01,tumor,0.712093154
TCGA.4Z.AA7N.01A.11R.A39I.07,BLCA,01,tumor,0.330678785
TCGA.4Z.AA7O.01A.31R.A39I.07,BLCA,01,tumor,0.544825472
TCGA.4Z.AA7Q.01A.11R.A39I.07,BLCA,01,tumor,0.521648328
TCGA.4Z.AA7R.01A.11R.A39I.07,BLCA,01,tumor,0.606180486
